summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x304bc03-65974680-8,SEDENTARY,0,0,0.0,900,900,1704412800,0,1.0,SEDENTARY,0.0,2.0
x304bc03-65974a04-8,SEDENTARY,0,0,0.0,900,900,1704413700,0,1.0,SEDENTARY,0.0,4.0
x304bc03-65974d88-8,SEDENTARY,0,0,0.0,900,900,1704414600,0,1.0,SEDENTARY,0.0,3.0
x304bc03-6597510c-8,SEDENTARY,0,0,0.0,900,900,1704415500,0,1.0,SEDENTARY,0.0,0.0
x304bc03-65975490-8,SEDENTARY,0,0,0.0,900,900,1704416400,0,1.0,SEDENTARY,0.0,0.0
x304bc03-65975814-8,SEDENTARY,0,0,0.0,900,900,1704417300,0,1.0,SEDENTARY,0.0,3.0
x304bc03-65975b98-8,SEDENTARY,0,0,0.0,900,900,1704418200,0,1.0,SEDENTARY,0.0,2.0
x304bc03-65975f1c-8,SEDENTARY,0,0,0.0,900,900,1704419100,0,1.0,SEDENTARY,0.0,1.0
x304bc03-659762a0-8,SEDENTARY,0,0,0.0,900,900,1704420000,0,1.0,SEDENTARY,0.0,2.0
x304bc03-65976624-8,SEDENTARY,0,0,0.0,900,900,1704420900,0,1.0,SEDENTARY,0.0,2.0
x304bc03-659769a8-8,SEDENTARY,0,0,0.0,900,900,1704421800,0,1.0,SEDENTARY,0.0,3.0
x304bc03-65976d2c-6,WALKING,1,32,26.93,900,120,1704422700,0,1.3520782,ACTIVE,1.5,3.0
x304bc03-65976d2c-8,SEDENTARY,0,0,0.0,900,780,1704422700,0,1.0,SEDENTARY,0.0,4.0
x304bc03-659770b0-8,SEDENTARY,0,0,0.0,900,900,1704423600,0,1.0,SEDENTARY,0.0,3.0
x304bc03-65977434-8,SEDENTARY,0,0,0.0,900,900,1704424500,0,1.0,SEDENTARY,0.0,2.0
x304bc03-659777b8-8,SEDENTARY,0,0,0.0,900,900,1704425400,0,1.0,SEDENTARY,0.0,3.0
x304bc03-65977b3c-8,SEDENTARY,0,0,0.0,900,900,1704426300,0,1.0,SEDENTARY,0.0,3.0
x304bc03-65977ec0-8,SEDENTARY,0,0,0.0,900,900,1704427200,0,1.0,SEDENTARY,0.0,3.0
