Category,Predicted Glucose Change (mmol/L),Predicted Variance (mmol/L),Actual Glucose Change (mmol/L),Actual Variance (mmol/L),Total Windows,Correct Predictions,Accuracy (%),Mean Absolute Error Glucose,Mean Absolute Error Variance
High,0.603,0.312,0.604,0.311,99,98,98.990,0.106,0.080
Low,0.548,0.293,0.550,0.296,97,95,97.938,0.131,0.202
Medium,0.621,0.319,0.622,0.318,95,95,100.000,,
Very High,0.664,0.291,0.665,0.291,88,87,98.864,0.168,0.134
