Category,Predicted Glucose Change (mmol/L),Predicted Variance (mmol/L),Actual Glucose Change (mmol/L),Actual Variance (mmol/L),Total Windows,Correct Predictions,Accuracy (%),Mean Absolute Error Glucose,Mean Absolute Error Variance
High,0.771,0.413,0.775,0.415,38,37,97.368,0.218,0.424
Low,0.709,0.496,0.711,0.504,45,43,95.556,0.299,0.548
Medium,0.591,0.196,0.593,0.198,40,39,97.500,0.164,0.259
Very High,0.887,0.452,0.892,0.460,47,47,100.000,,
