Category,Predicted Glucose Change (mmol/L),Predicted Variance (mmol/L),Actual Glucose Change (mmol/L),Actual Variance (mmol/L),Total Windows,Correct Predictions,Accuracy (%),Mean Absolute Error Glucose,Mean Absolute Error Variance
High,0.579,0.258,0.570,0.274,18,17,94.444,0.149,0.606
Low,0.608,0.249,0.600,0.217,16,16,100.000,,
Medium,0.494,0.122,0.494,0.123,18,18,100.000,,
Very High,1.291,1.814,1.252,1.711,10,10,100.000,,
