Category,Predicted Glucose Change (mmol/L),Predicted Variance (mmol/L),Actual Glucose Change (mmol/L),Actual Variance (mmol/L),Total Windows,Correct Predictions,Accuracy (%),Mean Absolute Error Glucose,Mean Absolute Error Variance
High,0.695,0.380,0.694,0.389,38,38,100.000,,
Low,0.653,0.445,0.641,0.433,35,34,97.143,0.083,0.026
Medium,0.552,0.236,0.551,0.236,46,46,100.000,,
Very High,0.857,0.607,0.850,0.594,40,40,100.000,,
