summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x522831b-65f78e8c-8,SEDENTARY,0,0,0.0,900,420,1710722700,0,1.0,SEDENTARY,0.0,0.0
x522831b-65f79210-8,SEDENTARY,0,0,0.0,900,900,1710723600,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f79594-8,SEDENTARY,0,0,0.0,900,900,1710724500,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f79918-8,SEDENTARY,0,0,0.0,900,900,1710725400,0,1.0,SEDENTARY,0.0,2.0
x522831b-65f79c9c-8,SEDENTARY,0,0,0.0,900,900,1710726300,0,1.0,SEDENTARY,0.0,0.0
x522831b-65f7a020-8,SEDENTARY,0,0,0.0,900,900,1710727200,0,1.0,SEDENTARY,0.0,2.0
x522831b-65f7a3a4-6,WALKING,0,11,9.01,900,60,1710728100,0,1.0,ACTIVE,2.0,2.0
x522831b-65f7a3a4-8,SEDENTARY,0,0,0.0,900,840,1710728100,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f7a728-6,WALKING,0,13,10.65,900,60,1710729000,0,1.0,ACTIVE,3.0,3.0
x522831b-65f7a728-8,SEDENTARY,0,0,0.0,900,840,1710729000,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7aaac-8,SEDENTARY,0,0,0.0,900,900,1710729900,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7ae30-8,SEDENTARY,0,0,0.0,900,900,1710730800,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7b1b4-8,SEDENTARY,0,0,0.0,900,900,1710731700,0,1.0,SEDENTARY,0.0,2.0
x522831b-65f7b538-8,SEDENTARY,0,0,0.0,900,900,1710732600,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7b8bc-8,SEDENTARY,0,0,0.0,900,900,1710733500,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7bc40-8,SEDENTARY,0,0,0.0,900,900,1710734400,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f7bfc4-6,WALKING,6,69,56.51,900,180,1710735300,0,2.3439105,ACTIVE,2.6666666666666665,3.0
x522831b-65f7bfc4-8,SEDENTARY,0,0,0.0,900,720,1710735300,0,1.0,SEDENTARY,0.0,5.0
x522831b-65f7c348-6,WALKING,9,41,33.58,900,180,1710736200,0,3.0158656,ACTIVE,2.0,2.0
x522831b-65f7c348-8,SEDENTARY,0,0,0.0,900,720,1710736200,0,1.0,SEDENTARY,0.0,6.0
x522831b-65f7c6cc-8,SEDENTARY,0,0,0.0,900,900,1710737100,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7ca50-8,SEDENTARY,0,0,0.0,900,900,1710738000,0,1.0,SEDENTARY,0.0,2.0
x522831b-65f7cdd4-8,SEDENTARY,0,0,0.0,900,900,1710738900,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7d158-8,SEDENTARY,0,0,0.0,900,900,1710739800,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7d4dc-8,SEDENTARY,0,0,0.0,900,900,1710740700,0,1.0,SEDENTARY,0.0,1.0
x522831b-65f7d860-8,SEDENTARY,0,0,0.0,900,900,1710741600,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7dbe4-8,SEDENTARY,0,0,0.0,900,900,1710742500,0,1.0,SEDENTARY,0.0,5.0
x522831b-65f7df68-8,SEDENTARY,0,0,0.0,900,900,1710743400,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7e2ec-8,SEDENTARY,0,0,0.0,900,900,1710744300,0,1.0,SEDENTARY,0.0,5.0
x522831b-65f7e670-8,SEDENTARY,0,0,0.0,900,900,1710745200,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7e9f4-8,SEDENTARY,0,0,0.0,900,900,1710746100,0,1.0,SEDENTARY,0.0,2.0
x522831b-65f7ed78-8,SEDENTARY,0,0,0.0,900,900,1710747000,0,1.0,SEDENTARY,0.0,5.0
x522831b-65f7f0fc-8,SEDENTARY,0,0,0.0,900,900,1710747900,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f7f480-8,SEDENTARY,0,0,0.0,900,900,1710748800,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7f804-8,SEDENTARY,0,0,0.0,900,900,1710749700,0,1.0,SEDENTARY,0.0,4.0
x522831b-65f7fb88-8,SEDENTARY,0,0,0.0,900,900,1710750600,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f7ff0c-8,SEDENTARY,0,0,0.0,900,900,1710751500,0,1.0,SEDENTARY,0.0,3.0
x522831b-65f80290-8,SEDENTARY,0,0,0.0,900,900,1710752400,0,1.0,SEDENTARY,0.0,2.0
