summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x5293efa-65e7b200-8,SEDENTARY,0,0,0.0,900,900,1709683200,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7b584-8,SEDENTARY,0,0,0.0,900,900,1709684100,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e7b908-8,SEDENTARY,0,0,0.0,900,900,1709685000,0,1.0,SEDENTARY,0.0,4.0
x5293efa-65e7bc8c-8,SEDENTARY,0,0,0.0,900,900,1709685900,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7c010-6,WALKING,9,123,91.95,900,360,1709686800,0,2.1009173,ACTIVE,2.0,2.0
x5293efa-65e7c010-8,SEDENTARY,0,0,0.0,900,540,1709686800,0,1.0,SEDENTARY,0.0,5.0
x5293efa-65e7c394-6,WALKING,3,55,41.12,900,180,1709687700,0,1.7339449,ACTIVE,2.0,2.0
x5293efa-65e7c394-8,SEDENTARY,0,0,0.0,900,720,1709687700,0,1.0,SEDENTARY,0.0,5.0
x5293efa-65e7c718-6,WALKING,4,82,61.31,900,300,1709688600,0,1.5871559,ACTIVE,2.0,2.0
x5293efa-65e7c718-8,SEDENTARY,0,0,0.0,900,600,1709688600,0,1.0,SEDENTARY,0.0,5.0
x5293efa-65e7ca9c-6,WALKING,6,104,77.75,900,420,1709689500,0,1.6290957,ACTIVE,1.4285714285714286,2.0
x5293efa-65e7ca9c-8,SEDENTARY,0,0,0.0,900,480,1709689500,0,1.0,SEDENTARY,0.0,4.0
x5293efa-65e7ce20-8,SEDENTARY,0,0,0.0,900,900,1709690400,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e7d1a4-8,SEDENTARY,0,0,0.0,900,900,1709691300,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e7d528-8,SEDENTARY,0,0,0.0,900,900,1709692200,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e7d8ac-8,SEDENTARY,0,0,0.0,900,900,1709693100,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7dc30-6,WALKING,0,25,18.69,900,60,1709694000,0,1.0,ACTIVE,2.0,2.0
x5293efa-65e7dc30-8,SEDENTARY,0,0,0.0,900,840,1709694000,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e7dfb4-6,WALKING,1,13,9.72,900,60,1709694900,0,1.733945,ACTIVE,2.0,2.0
x5293efa-65e7dfb4-8,SEDENTARY,0,0,0.0,900,840,1709694900,0,1.0,SEDENTARY,0.0,4.0
x5293efa-65e7e338-6,WALKING,1,13,9.72,900,60,1709695800,0,1.733945,ACTIVE,4.0,4.0
x5293efa-65e7e338-8,SEDENTARY,0,0,0.0,900,840,1709695800,0,1.0,SEDENTARY,0.0,4.0
x5293efa-65e7e6bc-8,SEDENTARY,0,0,0.0,900,900,1709696700,0,1.0,SEDENTARY,0.0,0.0
x5293efa-65e7ea40-8,SEDENTARY,0,0,0.0,900,900,1709697600,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7edc4-8,SEDENTARY,0,0,0.0,900,900,1709698500,0,1.0,SEDENTARY,0.0,1.0
x5293efa-65e7f148-8,SEDENTARY,0,0,0.0,900,900,1709699400,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7f4cc-8,SEDENTARY,0,0,0.0,900,900,1709700300,0,1.0,SEDENTARY,0.0,0.0
x5293efa-65e7f850-8,SEDENTARY,0,0,0.0,900,900,1709701200,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7fbd4-8,SEDENTARY,0,0,0.0,900,900,1709702100,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e7ff58-8,SEDENTARY,0,0,0.0,900,900,1709703000,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e802dc-8,SEDENTARY,0,0,0.0,900,900,1709703900,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e80660-8,SEDENTARY,0,0,0.0,900,900,1709704800,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e809e4-8,SEDENTARY,0,0,0.0,900,900,1709705700,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e80d68-6,WALKING,2,22,16.44,900,120,1709706600,0,1.733945,ACTIVE,2.0,2.0
x5293efa-65e80d68-8,SEDENTARY,0,0,0.0,900,780,1709706600,0,1.0,SEDENTARY,0.0,5.0
x5293efa-65e810ec-8,SEDENTARY,0,0,0.0,900,900,1709707500,0,1.0,SEDENTARY,0.0,0.0
x5293efa-65e81470-8,SEDENTARY,0,0,0.0,900,900,1709708400,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e817f4-8,SEDENTARY,0,0,0.0,900,900,1709709300,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e81b78-8,SEDENTARY,0,0,0.0,900,900,1709710200,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e81efc-8,SEDENTARY,0,0,0.0,900,900,1709711100,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e82280-8,SEDENTARY,0,0,0.0,900,900,1709712000,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e82604-8,SEDENTARY,0,0,0.0,900,900,1709712900,0,1.0,SEDENTARY,0.0,1.0
x5293efa-65e82988-8,SEDENTARY,0,0,0.0,900,900,1709713800,0,1.0,SEDENTARY,0.0,2.0
x5293efa-65e82d0c-8,SEDENTARY,0,0,0.0,900,900,1709714700,0,1.0,SEDENTARY,0.0,3.0
x5293efa-65e83090-8,SEDENTARY,0,0,0.0,900,900,1709715600,0,1.0,SEDENTARY,0.0,2.0
