summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x516c570-6522b5e0-6,WALKING,0,13,9.31,900,2,1696773600,3600,1.0,HIGHLY_ACTIVE,3.0,3.0
x516c570-6522b5e0-8,SEDENTARY,0,0,0.0,900,838,1696773600,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522b964-8,SEDENTARY,0,0,0.0,900,900,1696774500,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522bce8-6,WALKING,4,62,44.42,900,180,1696775400,3600,2.0355988,ACTIVE,3.0,3.0
x516c570-6522bce8-8,SEDENTARY,0,0,0.0,900,720,1696775400,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522c06c-8,SEDENTARY,0,0,0.0,900,900,1696776300,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522c3f0-8,SEDENTARY,0,0,0.0,900,900,1696777200,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522c774-8,SEDENTARY,0,0,0.0,900,900,1696778100,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522caf8-8,SEDENTARY,0,0,0.0,900,900,1696779000,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522ce7c-8,SEDENTARY,0,0,0.0,900,900,1696779900,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522d200-8,SEDENTARY,0,0,0.0,900,900,1696780800,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522d584-8,SEDENTARY,0,0,0.0,900,900,1696781700,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522d908-1,RUNNING,0,26,27.94,900,15,1696782600,3600,1.0,HIGHLY_ACTIVE,4.0,4.0
x516c570-6522d908-6,WALKING,25,316,226.38,900,450,1696782600,3600,3.5889966,ACTIVE,1.5333333333333334,2.0
x516c570-6522d908-0,GENERIC,2,0,0.0,900,0,1696782600,3600,1.0,SEDENTARY,0.0,5.0
x516c570-6522d908-8,SEDENTARY,0,0,0.0,900,435,1696782600,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522dc8c-6,WALKING,43,1336,957.11,900,900,1696783500,3600,3.2265372,ACTIVE,3.0,3.0
x516c570-6522e010-6,WALKING,25,1003,718.55,900,600,1696784400,3600,2.9417477,ACTIVE,2.0,2.0
x516c570-6522e010-0,GENERIC,7,0,0.0,900,0,1696784400,3600,1.0,SEDENTARY,0.0,5.0
x516c570-6522e010-8,SEDENTARY,0,0,0.0,900,300,1696784400,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522e394-8,SEDENTARY,0,0,0.0,900,900,1696785300,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522e718-8,SEDENTARY,0,0,0.0,900,900,1696786200,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522ea9c-8,SEDENTARY,0,0,0.0,900,900,1696787100,3600,1.0,SEDENTARY,0.0,3.0
x516c570-6522ee20-6,WALKING,10,84,60.18,900,180,1696788000,3600,3.588997,ACTIVE,2.3333333333333335,3.0
x516c570-6522ee20-0,GENERIC,3,0,0.0,900,0,1696788000,3600,1.0,SEDENTARY,0.0,6.0
x516c570-6522ee20-8,SEDENTARY,0,0,0.0,900,720,1696788000,3600,1.0,SEDENTARY,0.0,5.0
x516c570-6522f1a4-6,WALKING,24,123,88.11,900,450,1696788900,3600,3.485437,ACTIVE,1.0,1.0
x516c570-6522f1a4-8,SEDENTARY,0,0,0.0,900,450,1696788900,3600,1.0,SEDENTARY,0.0,5.0
x516c570-6522f528-8,SEDENTARY,0,0,0.0,900,900,1696789800,3600,1.0,SEDENTARY,0.0,0.0
x516c570-6522f8ac-6,WALKING,22,143,102.45,900,375,1696790700,3600,3.7339807,ACTIVE,1.32,3.0
x516c570-6522f8ac-0,GENERIC,6,0,0.0,900,0,1696790700,3600,1.0,SEDENTARY,0.0,7.0
x516c570-6522f8ac-8,SEDENTARY,0,0,0.0,900,525,1696790700,3600,1.0,SEDENTARY,0.0,5.0
x516c570-6522fc30-8,SEDENTARY,0,0,0.0,900,900,1696791600,3600,1.0,SEDENTARY,0.0,4.0
x516c570-6522ffb4-6,WALKING,0,10,7.16,900,15,1696792500,3600,1.0,ACTIVE,1.0,1.0
