summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x3660b23-65b83c00-6,WALKING,0,9,7.17,900,60,1706572800,0,1.0,ACTIVE,2.0,2.0
x3660b23-65b83c00-8,SEDENTARY,0,0,0.0,900,840,1706572800,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b83f84-8,SEDENTARY,0,0,0.0,900,900,1706573700,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b84308-8,SEDENTARY,0,0,0.0,900,900,1706574600,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8468c-6,WALKING,0,15,11.94,900,60,1706575500,0,1.0,ACTIVE,2.0,2.0
x3660b23-65b8468c-8,SEDENTARY,0,0,0.0,900,840,1706575500,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b84a10-8,SEDENTARY,0,0,0.0,900,900,1706576400,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b84d94-8,SEDENTARY,0,0,0.0,900,900,1706577300,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b85118-8,SEDENTARY,0,0,0.0,900,900,1706578200,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8549c-8,SEDENTARY,0,0,0.0,900,900,1706579100,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b85820-8,SEDENTARY,0,0,0.0,900,900,1706580000,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b85ba4-8,SEDENTARY,0,0,0.0,900,900,1706580900,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b85f28-8,SEDENTARY,0,0,0.0,900,900,1706581800,0,1.0,SEDENTARY,0.0,2.0
x3660b23-65b862ac-8,SEDENTARY,0,0,0.0,900,900,1706582700,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b86630-6,WALKING,0,22,17.52,900,60,1706583600,0,1.0,ACTIVE,1.0,1.0
x3660b23-65b86630-8,SEDENTARY,0,0,0.0,900,840,1706583600,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b869b4-8,SEDENTARY,0,0,0.0,900,900,1706584500,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b86d38-8,SEDENTARY,0,0,0.0,900,900,1706585400,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b870bc-8,SEDENTARY,0,0,0.0,900,900,1706586300,0,1.0,SEDENTARY,0.0,1.0
x3660b23-65b87440-8,SEDENTARY,0,0,0.0,900,900,1706587200,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b877c4-8,SEDENTARY,0,0,0.0,900,900,1706588100,0,1.0,SEDENTARY,0.0,2.0
x3660b23-65b87b48-8,SEDENTARY,0,0,0.0,900,900,1706589000,0,1.0,SEDENTARY,0.0,2.0
x3660b23-65b87ecc-8,SEDENTARY,0,0,0.0,900,900,1706589900,0,1.0,SEDENTARY,0.0,1.0
x3660b23-65b88250-8,SEDENTARY,0,0,0.0,900,900,1706590800,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b885d4-8,SEDENTARY,0,0,0.0,900,900,1706591700,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b88958-8,SEDENTARY,0,0,0.0,900,900,1706592600,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b88cdc-8,SEDENTARY,0,0,0.0,900,900,1706593500,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b89060-8,SEDENTARY,0,0,0.0,900,900,1706594400,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b893e4-8,SEDENTARY,0,0,0.0,900,900,1706595300,0,1.0,SEDENTARY,0.0,1.0
x3660b23-65b89768-8,SEDENTARY,0,0,0.0,900,900,1706596200,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b89aec-8,SEDENTARY,0,0,0.0,900,900,1706597100,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b89e70-8,SEDENTARY,0,0,0.0,900,900,1706598000,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b8a1f4-8,SEDENTARY,0,0,0.0,900,900,1706598900,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65b8a578-8,SEDENTARY,0,0,0.0,900,900,1706599800,0,1.0,SEDENTARY,0.0,2.0
x3660b23-65b8a8fc-8,SEDENTARY,0,0,0.0,900,900,1706600700,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8ac80-6,WALKING,0,27,21.49,900,60,1706601600,0,1.0,ACTIVE,2.0,2.0
x3660b23-65b8ac80-8,SEDENTARY,0,0,0.0,900,840,1706601600,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8b004-8,SEDENTARY,0,0,0.0,900,900,1706602500,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8b388-8,SEDENTARY,0,0,0.0,900,900,1706603400,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8b70c-6,WALKING,0,80,63.7,900,180,1706604300,0,1.0,ACTIVE,2.3333333333333335,3.0
x3660b23-65b8b70c-8,SEDENTARY,0,0,0.0,900,720,1706604300,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8ba90-8,SEDENTARY,0,0,0.0,900,900,1706605200,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b8be14-6,WALKING,0,9,7.16,900,60,1706606100,0,1.0,ACTIVE,1.0,1.0
x3660b23-65b8be14-8,SEDENTARY,0,0,0.0,900,840,1706606100,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65b8c198-6,WALKING,6,133,105.9,900,360,1706607000,0,1.7830343,ACTIVE,2.6666666666666665,4.0
x3660b23-65b8c198-8,SEDENTARY,0,0,0.0,900,540,1706607000,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65b8c51c-6,WALKING,0,92,73.25,900,300,1706607900,0,1.0,ACTIVE,2.2,3.0
x3660b23-65b8c51c-8,SEDENTARY,0,0,0.0,900,600,1706607900,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b8c8a0-6,WALKING,1,115,91.56,900,360,1706608800,0,1.1305058,ACTIVE,2.0,3.0
x3660b23-65b8c8a0-8,SEDENTARY,0,0,0.0,900,540,1706608800,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b8cc24-6,WALKING,1,56,44.59,900,180,1706609700,0,1.2610115,ACTIVE,1.6666666666666667,2.0
x3660b23-65b8cc24-8,SEDENTARY,0,0,0.0,900,720,1706609700,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b8cfa8-6,WALKING,1,54,42.99,900,75,1706610600,0,1.6264273,ACTIVE,3.0,3.0
x3660b23-65b8cfa8-8,SEDENTARY,0,0,0.0,900,825,1706610600,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65b8d32c-6,WALKING,2,164,130.58,900,150,1706611500,0,1.6264273,ACTIVE,2.0,2.0
x3660b23-65b8d32c-8,SEDENTARY,0,0,0.0,900,750,1706611500,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65b8d6b0-6,WALKING,6,300,238.86,900,255,1706612400,0,2.1054602,ACTIVE,2.6666666666666665,4.0
