summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x3660b23-6590af00-6,WALKING,2,63,50.17,900,240,1703980800,0,1.391645,ACTIVE,2.25,4.0
x3660b23-6590af00-8,SEDENTARY,0,0,0.0,900,660,1703980800,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6590b284-6,WALKING,6,87,69.26,900,420,1703981700,0,1.6713912,ACTIVE,2.0,2.0
x3660b23-6590b284-8,SEDENTARY,0,0,0.0,900,480,1703981700,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6590b608-6,WALKING,0,16,12.74,900,120,1703982600,0,1.0,ACTIVE,1.0,1.0
x3660b23-6590b608-8,SEDENTARY,0,0,0.0,900,780,1703982600,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6590b98c-6,WALKING,0,38,30.26,900,120,1703983500,0,1.0,ACTIVE,1.5,2.0
x3660b23-6590b98c-8,SEDENTARY,0,0,0.0,900,780,1703983500,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6590bd10-6,WALKING,0,9,7.17,900,60,1703984400,0,1.0,ACTIVE,1.0,1.0
x3660b23-6590bd10-8,SEDENTARY,0,0,0.0,900,840,1703984400,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6590c094-8,SEDENTARY,0,0,0.0,900,900,1703985300,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590c418-8,SEDENTARY,0,0,0.0,900,900,1703986200,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590c79c-8,SEDENTARY,0,0,0.0,900,900,1703987100,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590cb20-8,SEDENTARY,0,0,0.0,900,900,1703988000,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590cea4-8,SEDENTARY,0,0,0.0,900,900,1703988900,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590d228-8,SEDENTARY,0,0,0.0,900,900,1703989800,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590d5ac-8,SEDENTARY,0,0,0.0,900,900,1703990700,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590d930-8,SEDENTARY,0,0,0.0,900,900,1703991600,0,1.0,SEDENTARY,0.0,2.0
x3660b23-6590dcb4-8,SEDENTARY,0,0,0.0,900,900,1703992500,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590e038-8,SEDENTARY,0,0,0.0,900,900,1703993400,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590e3bc-8,SEDENTARY,0,0,0.0,900,900,1703994300,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590e740-8,SEDENTARY,0,0,0.0,900,900,1703995200,0,1.0,SEDENTARY,0.0,2.0
x3660b23-6590eac4-8,SEDENTARY,0,0,0.0,900,900,1703996100,0,1.0,SEDENTARY,0.0,4.0
x3660b23-6590ee48-8,SEDENTARY,0,0,0.0,900,900,1703997000,0,1.0,SEDENTARY,0.0,0.0
x3660b23-6590f1cc-8,SEDENTARY,0,0,0.0,900,900,1703997900,0,1.0,SEDENTARY,0.0,4.0
x3660b23-6590f550-6,WALKING,0,25,19.9,900,120,1703998800,0,1.0,ACTIVE,3.0,3.0
x3660b23-6590f550-8,SEDENTARY,0,0,0.0,900,780,1703998800,0,1.0,SEDENTARY,0.0,4.0
x3660b23-6590f8d4-8,SEDENTARY,0,0,0.0,900,900,1703999700,0,1.0,SEDENTARY,0.0,4.0
x3660b23-6590fc58-8,SEDENTARY,0,0,0.0,900,900,1704000600,0,1.0,SEDENTARY,0.0,3.0
x3660b23-6590ffdc-8,SEDENTARY,0,0,0.0,900,900,1704001500,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65910360-8,SEDENTARY,0,0,0.0,900,900,1704002400,0,1.0,SEDENTARY,0.0,3.0
x3660b23-659106e4-8,SEDENTARY,0,0,0.0,900,900,1704003300,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65910a68-8,SEDENTARY,0,0,0.0,900,900,1704004200,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65910dec-8,SEDENTARY,0,0,0.0,900,900,1704005100,0,1.0,SEDENTARY,0.0,0.0
x3660b23-65911170-8,SEDENTARY,0,0,0.0,900,900,1704006000,0,1.0,SEDENTARY,0.0,5.0
x3660b23-659114f4-8,SEDENTARY,0,0,0.0,900,900,1704006900,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65911878-6,WALKING,0,25,19.91,900,120,1704007800,0,1.0,ACTIVE,3.0,3.0
x3660b23-65911878-8,SEDENTARY,0,0,0.0,900,780,1704007800,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65911bfc-8,SEDENTARY,0,0,0.0,900,900,1704008700,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65911f80-8,SEDENTARY,0,0,0.0,900,900,1704009600,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65912304-8,SEDENTARY,0,0,0.0,900,900,1704010500,0,1.0,SEDENTARY,0.0,4.0
x3660b23-65912688-6,WALKING,5,102,81.21,3600,175,1704011400,0,2.3427825,ACTIVE,3.3142857142857145,4.0
x3660b23-65912688-8,SEDENTARY,0,0,0.01,3600,3425,1704011400,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65913498-6,WALKING,11,215,171.19,900,420,1704015000,0,2.230884,ACTIVE,2.7142857142857144,3.0
x3660b23-65913498-8,SEDENTARY,0,0,0.0,900,480,1704015000,0,1.0,SEDENTARY,0.0,6.0
x3660b23-6591381c-6,WALKING,1,188,149.68,900,420,1704015900,0,1.1118985,ACTIVE,2.7142857142857144,3.0
x3660b23-6591381c-8,SEDENTARY,0,0,0.0,900,480,1704015900,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65913ba0-6,WALKING,1,275,218.96,900,420,1704016800,0,1.1118985,ACTIVE,2.7142857142857144,4.0
x3660b23-65913ba0-8,SEDENTARY,0,0,0.0,900,480,1704016800,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65913f24-6,WALKING,0,19,15.12,900,60,1704017700,0,1.0,ACTIVE,4.0,4.0
x3660b23-65913f24-8,SEDENTARY,0,0,0.0,900,840,1704017700,0,1.0,SEDENTARY,0.0,4.0
x3660b23-659142a8-8,SEDENTARY,0,0,0.0,900,900,1704018600,0,1.0,SEDENTARY,0.0,4.0
x3660b23-6591462c-8,SEDENTARY,0,0,0.0,900,900,1704019500,0,1.0,SEDENTARY,0.0,4.0
x3660b23-659149b0-6,WALKING,1,85,67.68,900,180,1704020400,0,1.2610966,ACTIVE,1.6666666666666667,2.0
x3660b23-659149b0-8,SEDENTARY,0,0,0.0,900,720,1704020400,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65914d34-6,WALKING,7,225,179.15,900,240,1704021300,0,2.370757,ACTIVE,1.75,3.0
x3660b23-65914d34-8,SEDENTARY,0,0,0.0,900,660,1704021300,0,1.0,SEDENTARY,0.0,5.0
x3660b23-659150b8-6,WALKING,2,68,54.14,900,180,1704022200,0,1.5221932,ACTIVE,2.3333333333333335,3.0
x3660b23-659150b8-8,SEDENTARY,0,0,0.0,900,720,1704022200,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6591543c-6,WALKING,2,37,29.46,900,120,1704023100,0,1.7832898,ACTIVE,2.5,3.0
x3660b23-6591543c-8,SEDENTARY,0,0,0.0,900,780,1704023100,0,1.0,SEDENTARY,0.0,4.0
x3660b23-659157c0-6,WALKING,0,35,27.86,900,60,1704024000,0,1.0,ACTIVE,4.0,4.0
x3660b23-659157c0-8,SEDENTARY,0,0,0.0,900,840,1704024000,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65915b44-8,SEDENTARY,0,0,0.0,900,900,1704024900,0,1.0,SEDENTARY,0.0,3.0
x3660b23-65915ec8-6,WALKING,0,14,11.15,900,15,1704025800,0,1.0,ACTIVE,2.0,2.0
x3660b23-65915ec8-8,SEDENTARY,0,0,0.0,900,885,1704025800,0,1.0,SEDENTARY,0.0,5.0
x3660b23-6591624c-6,WALKING,10,421,335.2,900,290,1704026700,0,2.6205995,ACTIVE,3.0517241379310347,4.0
x3660b23-6591624c-8,SEDENTARY,0,0,0.0,900,610,1704026700,0,1.0,SEDENTARY,0.0,5.0
x3660b23-659165d0-6,WALKING,2,419,333.61,900,480,1704027600,0,1.1958225,ACTIVE,2.875,3.0
x3660b23-659165d0-8,SEDENTARY,0,0,0.0,900,420,1704027600,0,1.0,SEDENTARY,0.0,6.0
x3660b23-65916954-6,WALKING,8,391,311.31,900,420,1704028500,0,1.8951883,ACTIVE,2.7142857142857144,3.0
x3660b23-65916954-8,SEDENTARY,0,0,0.0,900,480,1704028500,0,1.0,SEDENTARY,0.0,5.0
x3660b23-65916cd8-6,WALKING,8,434,345.55,900,420,1704029400,0,1.8951883,ACTIVE,3.0,3.0
x3660b23-65916cd8-8,SEDENTARY,0,0,0.0,900,480,1704029400,0,1.0,SEDENTARY,0.0,5.0
