summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x336feb3-6557fe80-8,SEDENTARY,0,0,0.0,900,900,1700265600,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65580204-8,SEDENTARY,0,0,0.0,900,900,1700266500,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65580588-8,SEDENTARY,0,0,0.0,900,900,1700267400,0,1.0,SEDENTARY,0.0,1.0
x336feb3-6558090c-8,SEDENTARY,0,0,0.0,900,900,1700268300,0,1.0,SEDENTARY,0.0,4.0
x336feb3-65580c90-8,SEDENTARY,0,0,0.0,900,900,1700269200,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65581014-8,SEDENTARY,0,0,0.0,900,900,1700270100,0,1.0,SEDENTARY,0.0,1.0
x336feb3-65581398-8,SEDENTARY,0,0,0.0,900,900,1700271000,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558171c-8,SEDENTARY,0,0,0.0,900,900,1700271900,0,1.0,SEDENTARY,0.0,0.0
x336feb3-65581aa0-8,SEDENTARY,0,0,0.0,900,900,1700272800,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65581e24-8,SEDENTARY,0,0,0.0,900,900,1700273700,0,1.0,SEDENTARY,0.0,4.0
x336feb3-655821a8-8,SEDENTARY,0,0,0.0,900,900,1700274600,0,1.0,SEDENTARY,0.0,0.0
x336feb3-6558252c-8,SEDENTARY,0,0,0.0,900,900,1700275500,0,1.0,SEDENTARY,0.0,3.0
x336feb3-655828b0-8,SEDENTARY,0,0,0.0,900,900,1700276400,0,1.0,SEDENTARY,0.0,1.0
x336feb3-65582c34-8,SEDENTARY,0,0,0.0,900,900,1700277300,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65582fb8-8,SEDENTARY,0,0,0.0,900,900,1700278200,0,1.0,SEDENTARY,0.0,0.0
x336feb3-6558333c-8,SEDENTARY,0,0,0.0,900,900,1700279100,0,1.0,SEDENTARY,0.0,0.0
x336feb3-655836c0-8,SEDENTARY,0,0,0.0,900,900,1700280000,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65583a44-8,SEDENTARY,0,0,0.0,900,900,1700280900,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65583dc8-8,SEDENTARY,0,0,0.0,900,900,1700281800,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558414c-8,SEDENTARY,0,0,0.0,900,900,1700282700,0,1.0,SEDENTARY,0.0,1.0
x336feb3-655844d0-8,SEDENTARY,0,0,0.0,900,900,1700283600,0,1.0,SEDENTARY,0.0,0.0
x336feb3-65584854-8,SEDENTARY,0,0,0.0,900,900,1700284500,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65584bd8-8,SEDENTARY,0,0,0.0,900,900,1700285400,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65584f5c-8,SEDENTARY,0,0,0.0,900,900,1700286300,0,1.0,SEDENTARY,0.0,3.0
x336feb3-655852e0-8,SEDENTARY,0,0,0.0,900,900,1700287200,0,1.0,SEDENTARY,0.0,0.0
x336feb3-65585664-8,SEDENTARY,0,0,0.0,900,900,1700288100,0,1.0,SEDENTARY,0.0,4.0
x336feb3-655859e8-6,WALKING,0,28,23.57,900,60,1700289000,0,1.0,ACTIVE,2.0,2.0
x336feb3-655859e8-8,SEDENTARY,0,0,0.0,900,840,1700289000,0,1.0,SEDENTARY,0.0,4.0
x336feb3-65585d6c-8,SEDENTARY,0,0,0.0,900,900,1700289900,0,1.0,SEDENTARY,0.0,4.0
x336feb3-655860f0-8,SEDENTARY,0,0,0.0,900,900,1700290800,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65586474-6,WALKING,1,28,23.57,900,120,1700291700,0,1.3440038,ACTIVE,2.0,2.0
x336feb3-65586474-8,SEDENTARY,0,0,0.0,900,780,1700291700,0,1.0,SEDENTARY,0.0,4.0
x336feb3-655867f8-6,WALKING,3,40,33.67,900,120,1700292600,0,2.0320113,ACTIVE,2.0,3.0
x336feb3-655867f8-8,SEDENTARY,0,0,0.0,900,780,1700292600,0,1.0,SEDENTARY,0.0,4.0
x336feb3-65586b7c-8,SEDENTARY,0,0,0.0,900,900,1700293500,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65586f00-6,WALKING,6,154,129.62,900,279,1700294400,0,1.8877518,ACTIVE,2.0,2.0
x336feb3-65586f00-8,SEDENTARY,0,0,0.0,900,621,1700294400,0,1.0,SEDENTARY,0.0,6.0
x336feb3-65587284-6,WALKING,4,168,141.4,900,77,1700295300,0,3.1444395,HIGHLY_ACTIVE,2.0,2.0
x336feb3-65587284-8,SEDENTARY,0,0,0.0,900,823,1700295300,0,1.0,SEDENTARY,0.0,6.0
x336feb3-65587608-8,SEDENTARY,0,0,0.0,900,900,1700296200,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558798c-0,GENERIC,73,0,0.0,900,0,1700297100,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558798c-8,SEDENTARY,6,0,0.0,900,900,1700297100,0,1.2752031,SEDENTARY,0.0,3.0
x336feb3-65587d10-6,WALKING,15,61,51.34,900,120,1700298000,0,6.160057,ACTIVE,1.0,1.0
x336feb3-65587d10-0,GENERIC,94,0,0.0,900,0,1700298000,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65588094-6,WALKING,16,38,31.99,900,120,1700298900,0,6.5040607,ACTIVE,1.0,1.0
x336feb3-65588094-0,GENERIC,80,0,0.0,900,0,1700298900,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65588094-8,SEDENTARY,0,0,0.0,900,780,1700298900,0,1.0,SEDENTARY,0.0,4.0
x336feb3-65588418-6,WALKING,33,90,75.75,900,300,1700299800,0,5.54085,ACTIVE,2.8,3.0
x336feb3-65588418-0,GENERIC,14,0,0.0,900,0,1700299800,0,1.0,SEDENTARY,0.0,6.0
x336feb3-65588418-8,SEDENTARY,0,0,0.0,900,600,1700299800,0,1.0,SEDENTARY,0.0,6.0
x336feb3-6558879c-6,WALKING,21,149,125.41,900,540,1700300700,0,2.605351,ACTIVE,1.4444444444444444,3.0
x336feb3-6558879c-8,SEDENTARY,0,0,0.0,900,360,1700300700,0,1.0,SEDENTARY,0.0,6.0
x336feb3-65588b20-6,WALKING,6,74,62.29,900,383,1700301600,0,1.6466912,ACTIVE,1.5300261096605745,2.0
x336feb3-65588b20-8,SEDENTARY,0,0,0.0,900,517,1700301600,0,1.0,SEDENTARY,0.0,5.0
x336feb3-65588ea4-6,WALKING,2,94,79.12,900,132,1700302500,0,1.6254615,ACTIVE,1.5454545454545454,2.0
x336feb3-65588ea4-8,SEDENTARY,0,0,0.0,900,768,1700302500,0,1.0,SEDENTARY,0.0,3.0
x336feb3-65589228-6,WALKING,1,64,53.87,900,30,1700303400,0,2.3760152,HIGHLY_ACTIVE,0.9,1.0
x336feb3-65589228-8,SEDENTARY,0,0,0.0,900,870,1700303400,0,1.0,SEDENTARY,0.0,4.0
x336feb3-655895ac-6,WALKING,0,26,21.88,900,10,1700304300,0,1.0,HIGHLY_ACTIVE,1.6,2.0
x336feb3-655895ac-8,SEDENTARY,0,0,0.0,900,890,1700304300,0,1.0,SEDENTARY,0.0,5.0
x336feb3-65589930-6,WALKING,0,19,16.0,900,11,1700305200,0,1.0,ACTIVE,1.0,1.0
x336feb3-65589930-8,SEDENTARY,0,0,0.0,900,889,1700305200,0,1.0,SEDENTARY,0.0,2.0
x336feb3-65589cb4-6,WALKING,2,73,61.44,900,49,1700306100,0,2.6849165,ACTIVE,1.0,1.0
x336feb3-65589cb4-8,SEDENTARY,0,0,0.0,900,851,1700306100,0,1.0,SEDENTARY,0.0,4.0
x336feb3-6558a038-6,WALKING,2,110,92.59,900,42,1700307000,0,2.9657362,HIGHLY_ACTIVE,1.0,1.0
x336feb3-6558a038-8,SEDENTARY,0,0,0.0,900,858,1700307000,0,1.0,SEDENTARY,0.0,4.0
x336feb3-6558a3bc-6,WALKING,1,72,60.6,900,61,1700307900,0,1.6767288,ACTIVE,1.7540983606557377,2.0
x336feb3-6558a3bc-8,SEDENTARY,0,0,0.0,900,839,1700307900,0,1.0,SEDENTARY,0.0,4.0
x336feb3-6558a740-8,SEDENTARY,0,0,0.0,900,900,1700308800,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558aac4-8,SEDENTARY,0,0,0.0,900,900,1700309700,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558ae48-8,SEDENTARY,0,0,0.0,900,900,1700310600,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558b1cc-8,SEDENTARY,0,0,0.0,900,900,1700311500,0,1.0,SEDENTARY,0.0,3.0
x336feb3-6558b550-8,SEDENTARY,0,0,0.0,900,900,1700312400,0,1.0,SEDENTARY,0.0,4.0
x336feb3-6558b8d4-6,WALKING,0,59,49.66,900,32,1700313300,0,1.0,ACTIVE,1.53125,3.0
x336feb3-6558b8d4-8,SEDENTARY,0,0,0.0,900,868,1700313300,0,1.0,SEDENTARY,0.0,6.0
x336feb3-6558bc58-6,WALKING,22,801,674.2,900,438,1700314200,0,3.073448,ACTIVE,2.0,2.0
x336feb3-6558bfdc-6,WALKING,29,1323,1113.57,900,743,1700315100,0,2.6112158,ACTIVE,2.0,2.0
x336feb3-6558bfdc-8,SEDENTARY,0,0,0.0,900,157,1700315100,0,1.0,SEDENTARY,0.0,5.0
x336feb3-6558c360-6,WALKING,2,226,190.22,900,132,1700316000,0,1.6254615,ACTIVE,2.0,2.0
