summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x51140df-6567d080-8,SEDENTARY,0,0,0.0,900,900,1701302400,0,1.0,SEDENTARY,0.0,3.0
x51140df-6567d404-8,SEDENTARY,0,0,0.0,900,900,1701303300,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567d788-8,SEDENTARY,0,0,0.0,900,900,1701304200,0,1.0,SEDENTARY,0.0,5.0
x51140df-6567db0c-6,WALKING,11,21,17.48,900,120,1701305100,0,3.956327,ACTIVE,2.0,2.0
x51140df-6567db0c-0,GENERIC,9,0,0.0,900,0,1701305100,0,1.0,SEDENTARY,0.0,6.0
x51140df-6567db0c-8,SEDENTARY,0,0,0.0,900,780,1701305100,0,1.0,SEDENTARY,0.0,5.0
x51140df-6567de90-8,SEDENTARY,0,0,0.01,900,900,1701306000,0,1.0,SEDENTARY,0.0,3.0
x51140df-6567e214-8,SEDENTARY,0,0,0.0,900,900,1701306900,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567e598-8,SEDENTARY,0,0,0.0,900,900,1701307800,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567e91c-8,SEDENTARY,0,0,0.0,900,900,1701308700,0,1.0,SEDENTARY,0.0,3.0
x51140df-6567eca0-6,WALKING,2,13,10.82,900,60,1701309600,0,2.075028,ACTIVE,2.0,2.0
x51140df-6567eca0-8,SEDENTARY,0,0,0.0,900,840,1701309600,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567f024-6,WALKING,1,12,10.0,900,60,1701310500,0,1.537514,ACTIVE,4.0,4.0
x51140df-6567f024-8,SEDENTARY,0,0,0.0,900,840,1701310500,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567f3a8-6,WALKING,7,170,141.54,900,120,1701311400,0,2.8812988,ACTIVE,7.0,7.0
x51140df-6567f3a8-8,SEDENTARY,0,0,0.0,900,780,1701311400,0,1.0,SEDENTARY,0.0,4.0
x51140df-6567f72c-8,SEDENTARY,0,0,0.0,900,900,1701312300,0,1.0,SEDENTARY,0.0,3.0
x51140df-6567fab0-8,SEDENTARY,0,0,0.0,900,900,1701313200,0,1.0,SEDENTARY,0.0,3.0
x51140df-6567fe34-6,WALKING,9,47,39.13,900,120,1701314100,0,3.418813,ACTIVE,5.0,5.0
x51140df-6567fe34-8,SEDENTARY,0,0,0.0,900,780,1701314100,0,1.0,SEDENTARY,0.0,6.0
x51140df-656801b8-8,SEDENTARY,0,0,0.0,900,900,1701315000,0,1.0,SEDENTARY,0.0,6.0
x51140df-6568053c-8,SEDENTARY,0,0,0.0,900,900,1701315900,0,1.0,SEDENTARY,0.0,3.0
x51140df-656808c0-8,SEDENTARY,0,0,0.0,900,900,1701316800,0,1.0,SEDENTARY,0.0,2.0
x51140df-65680c44-8,SEDENTARY,0,0,0.0,900,900,1701317700,0,1.0,SEDENTARY,0.0,3.0
x51140df-65680fc8-8,SEDENTARY,0,0,0.0,900,900,1701318600,0,1.0,SEDENTARY,0.0,3.0
x51140df-6568134c-8,SEDENTARY,0,0,0.0,900,900,1701319500,0,1.0,SEDENTARY,0.0,3.0
x51140df-656816d0-6,WALKING,9,119,99.08,900,300,1701320400,0,1.9675251,ACTIVE,2.6,4.0
x51140df-656816d0-0,GENERIC,3,0,0.0,900,0,1701320400,0,1.0,SEDENTARY,0.0,5.0
x51140df-656816d0-8,SEDENTARY,0,0,0.0,900,600,1701320400,0,1.0,SEDENTARY,0.0,6.0
x51140df-65681a54-6,WALKING,2,7,5.83,900,60,1701321300,0,2.075028,ACTIVE,3.0,3.0
x51140df-65681a54-8,SEDENTARY,0,0,0.0,900,840,1701321300,0,1.0,SEDENTARY,0.0,5.0
x51140df-65681dd8-6,WALKING,1,7,5.82,900,120,1701322200,0,1.268757,ACTIVE,1.0,1.0
x51140df-65681dd8-8,SEDENTARY,0,0,0.0,900,780,1701322200,0,1.0,SEDENTARY,0.0,2.0
x51140df-6568215c-8,SEDENTARY,0,0,0.0,900,900,1701323100,0,1.0,SEDENTARY,0.0,0.0
x51140df-656824e0-8,SEDENTARY,0,0,0.0,900,900,1701324000,0,1.0,SEDENTARY,0.0,0.0
x51140df-65682864-8,SEDENTARY,0,0,0.0,900,900,1701324900,0,1.0,SEDENTARY,0.0,1.0
x51140df-65682be8-8,SEDENTARY,0,0,0.0,900,900,1701325800,0,1.0,SEDENTARY,0.0,4.0
x51140df-65682f6c-8,SEDENTARY,0,0,0.0,900,900,1701326700,0,1.0,SEDENTARY,0.0,2.0
x51140df-656832f0-8,SEDENTARY,0,0,0.0,900,900,1701327600,0,1.0,SEDENTARY,0.0,4.0
x51140df-65683674-8,SEDENTARY,0,0,0.0,900,900,1701328500,0,1.0,SEDENTARY,0.0,0.0
x51140df-656839f8-8,SEDENTARY,0,0,0.0,900,900,1701329400,0,1.0,SEDENTARY,0.0,0.0
x51140df-65683d7c-8,SEDENTARY,0,0,0.0,900,900,1701330300,0,1.0,SEDENTARY,0.0,4.0
x51140df-65684100-8,SEDENTARY,0,0,0.0,900,900,1701331200,0,1.0,SEDENTARY,0.0,4.0
x51140df-65684484-8,SEDENTARY,0,0,0.0,900,900,1701332100,0,1.0,SEDENTARY,0.0,4.0
