summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x51140df-654a57f8-8,SEDENTARY,0,0,0.0,900,300,1699371000,0,1.0,SEDENTARY,0.0,3.0
x51140df-654a5b7c-8,SEDENTARY,0,0,0.0,900,900,1699371900,0,1.0,SEDENTARY,0.0,3.0
x51140df-654a5f00-8,SEDENTARY,0,0,0.0,900,900,1699372800,0,1.0,SEDENTARY,0.0,2.0
x51140df-654a6284-8,SEDENTARY,0,0,0.0,900,900,1699373700,0,1.0,SEDENTARY,0.0,1.0
x51140df-654a6608-8,SEDENTARY,0,0,0.0,900,900,1699374600,0,1.0,SEDENTARY,0.0,1.0
x51140df-654a698c-8,SEDENTARY,0,0,0.0,900,900,1699375500,0,1.0,SEDENTARY,0.0,4.0
x51140df-654a6d10-8,SEDENTARY,0,0,0.0,1800,1800,1699376400,0,1.0,SEDENTARY,0.0,5.0
x51140df-654a7418-6,WALKING,1,53,44.13,900,45,1699378200,0,1.7212623,ACTIVE,3.0,3.0
x51140df-654a7418-8,SEDENTARY,0,0,0.0,900,855,1699378200,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a779c-6,WALKING,13,234,194.82,900,255,1699379100,0,2.6546605,ACTIVE,1.4705882352941178,2.0
x51140df-654a779c-0,GENERIC,8,0,0.0,900,0,1699379100,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a779c-8,SEDENTARY,0,0,0.0,900,645,1699379100,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a7b20-6,WALKING,31,450,374.67,900,720,1699380000,0,2.3974457,ACTIVE,1.8333333333333333,2.0
x51140df-654a7b20-8,SEDENTARY,0,0,0.0,900,180,1699380000,0,1.0,SEDENTARY,0.0,2.0
x51140df-654a7ea4-6,WALKING,36,415,345.52,900,540,1699380900,0,3.1637864,ACTIVE,2.0,2.0
x51140df-654a7ea4-8,SEDENTARY,0,0,0.0,900,360,1699380900,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8228-6,WALKING,51,425,353.86,900,780,1699381800,0,3.1221755,ACTIVE,1.9230769230769231,2.0
x51140df-654a8228-0,GENERIC,4,0,0.0,900,0,1699381800,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8228-8,SEDENTARY,0,0,0.0,900,120,1699381800,0,1.0,SEDENTARY,0.0,0.0
x51140df-654a85ac-6,WALKING,24,215,179.01,900,360,1699382700,0,3.163787,ACTIVE,2.0,2.0
x51140df-654a85ac-0,GENERIC,2,0,0.0,900,0,1699382700,0,1.0,SEDENTARY,0.0,7.0
x51140df-654a85ac-8,SEDENTARY,0,0,0.0,900,540,1699382700,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8930-6,WALKING,7,39,32.47,900,120,1699383600,0,2.8933132,ACTIVE,2.0,2.0
x51140df-654a8930-0,GENERIC,38,0,0.0,900,0,1699383600,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8930-8,SEDENTARY,0,0,0.0,900,780,1699383600,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8cb4-6,WALKING,19,43,35.8,900,240,1699384500,0,3.5694964,ACTIVE,2.5,4.0
x51140df-654a8cb4-0,GENERIC,35,0,0.0,900,0,1699384500,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a8cb4-8,SEDENTARY,0,0,0.0,900,660,1699384500,0,1.0,SEDENTARY,0.0,6.0
x51140df-654a9038-6,WALKING,23,83,69.11,900,240,1699385400,0,4.110443,ACTIVE,2.5,3.0
