summaryId,activityType,activeKilocalories,steps,distanceInMeters,durationInSeconds,activeTimeInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,met,intensity,meanMotionIntensity,maxMotionIntensity
x5344bf2-6609f900-8,SEDENTARY,0,0,0.0,900,900,1711929600,3600,1.0,SEDENTARY,0.0,4.0
x5344bf2-6609fc84-8,SEDENTARY,0,0,0.0,900,900,1711930500,3600,1.0,SEDENTARY,0.0,4.0
x5344bf2-660a0008-8,SEDENTARY,0,0,0.0,900,900,1711931400,3600,1.0,SEDENTARY,0.0,4.0
x5344bf2-660a038c-8,SEDENTARY,0,0,0.0,900,900,1711932300,3600,1.0,SEDENTARY,0.0,4.0
x5344bf2-660a0710-6,WALKING,10,89,70.86,900,360,1711933200,3600,2.0733452,ACTIVE,1.6666666666666667,2.0
x5344bf2-660a0710-8,SEDENTARY,0,0,0.0,900,540,1711933200,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a0a94-6,WALKING,9,73,58.13,900,240,1711934100,3600,2.449016,ACTIVE,1.5,2.0
x5344bf2-660a0a94-0,GENERIC,4,0,0.0,900,0,1711934100,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a0a94-8,SEDENTARY,0,0,0.0,900,660,1711934100,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a0e18-0,GENERIC,22,0,0.0,900,0,1711935000,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a0e18-8,SEDENTARY,0,0,0.0,900,900,1711935000,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a119c-6,WALKING,2,45,35.83,900,60,1711935900,3600,2.2880144,ACTIVE,2.0,2.0
x5344bf2-660a119c-0,GENERIC,20,0,0.0,900,0,1711935900,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a119c-8,SEDENTARY,0,0,0.0,900,840,1711935900,3600,1.0,SEDENTARY,0.0,5.0
x5344bf2-660a1520-6,WALKING,15,90,71.66,900,300,1711936800,3600,2.9320216,ACTIVE,2.0,2.0
